Year,Population
1948,806000
1949,1174000
1950,1370000
1951,1578000
1952,1630000
1953,1669000
1954,1718000
1955,1789000
1956,1872000
1957,1976000
1958,2032000
1959,2089000
1960,2150000
1961,2234000
1962,2332000
1963,2430000
1964,2526000
1965,2598000
1966,2657000
1967,2776000
1968,2841000
1969,2930000
1970,3022000
1971,3121000
1972,3225000
1973,3338000
1974,3422000
1975,3493000
1976,3575000
1977,3653000
1978,3738000
1979,3836000
1980,3922000
1981,3978000
1982,4064000
1983,4119000
1984,4200000
1985,4266000
1986,4331000
1987,4407000
1988,4477000
1989,4560000
1990,4822000
1991,5059000
1992,5196000
1993,5328000
1994,5472000
1995,5619000
1996,5689000
1997,5987000
1998,6038000
1999,6200000
2000,6289000
2001,6460000
2002,6600000
2003,6600000
2004,6780000
2005,6930000
2006,7116000
2007,7244000
2008,7337000
2009,7552000
2010,7695000
2011,7746000
2012,7836000
2013,8081000
2014,8345000
2015,8462000
2016,8522000
2017,8630000
2018,8972000
2019,9092000
2020,9291000
2021,9998000
2022,9656000
2023,9795000
